,time,point,label,pid,bib,bib_display,tag,name,timeOfDay,epochTime,milePace,milePaceAvg,mph,kmPace,kmPaceAvg,kmh,etnp,etfp,startTime,sex,profile_color,_ver,alias,pace,paceAvg,splitTime,netTime,waveTime,course,country,country_iso,city,timestamp,i,u,place,leaderDiff,profile_pic,team,placeChange,isFinish,distance
42,00:05:01.59,1M,1M,RKBWSXTJ,436,436,00436,Jonas Hampton,10:15:01 am,1706973300.28,05:02,05:02,11.94,03:08,03:08,19.21,2M~00:10:02~10:20 am,FINISH~02:18:06~12:28 pm,10:09:59 am,M,9,6,1M,05:02 min/mile,05:02 min/mile,00:05:01.59,00:05:01.59,00:05:01.59,marathon,USA,us,Medford,1706955300.28,1706973310_000135,1706973310_000136,33,+00:01.96,,Boston Athletic Association,,,1.0
43,00:05:01.60,1M,1M,RH2KDN96,427,427,00427,Turner Wiley,10:15:01 am,1706973300.29,05:02,05:02,11.94,03:08,03:08,19.21,2M~00:10:01~10:19 am,FINISH~02:16:42~12:26 pm,10:09:59 am,M,3,6,1M,05:02 min/mile,05:02 min/mile,00:05:01.60,00:05:01.60,00:05:01.60,marathon,USA,us,Issaquah,1706955300.29,1706973310_000138,1706973310_000139,34,+00:01.97,,Club Northwest,,,1.0
44,00:05:01.62,1M,1M,RGVA7PNB,613,613,00613,Donald Cowart,10:15:01 am,1706973300.31,05:02,05:02,11.94,03:08,03:08,19.21,2M~00:10:02~10:19 am,FINISH~02:25:33~12:35 pm,10:09:59 am,M,2,4,1M,05:02 min/mile,05:02 min/mile,00:05:01.62,00:05:01.62,00:05:01.62,marathon,USA,us,Winston-Salem,1706955300.31,1706973310_000110,1706973310_000111,35,+00:01.99,,,,,1.0
45,00:05:01.62,1M,1M,RXMBU3L2,452,452,00452,Jerod Broadbooks,10:15:01 am,1706973300.31,05:02,05:02,11.94,03:08,03:08,19.21,2M~00:10:01~10:19 am,FINISH~02:16:20~12:26 pm,10:09:59 am,M,10,6,1M,05:02 min/mile,05:02 min/mile,00:05:01.62,00:05:01.62,00:05:01.62,marathon,USA,us,O Fallon,1706955300.31,1706973310_000141,1706973310_000142,36,+00:01.99,,,,,1.0
46,00:05:01.62,1M,1M,RYF6VSGT,410,410,00410,Futsum Zienasellassie,10:15:01 am,1706973300.31,05:02,05:02,11.94,03:08,03:08,19.21,2M~00:10:02~10:20 am,FINISH~02:13:58~12:23 pm,10:09:59 am,M,3,17,1M,05:02 min/mile,05:02 min/mile,00:05:01.62,00:05:01.62,00:05:01.62,marathon,USA,us,Flagstaff,1706955300.31,1706973310_000144,1706981326_000123,37,+00:01.99,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760111_futsum-zienasellassie-8463.jpeg?v=17,HOKA NAZ Elite,,,1.0
47,00:05:01.75,1M,1M,RWFHEGTR,415,415,00415,CJ Albertson,10:15:01 am,1706973300.44,05:02,05:02,11.93,03:08,03:08,19.20,2M~00:10:01~10:19 am,FINISH~02:10:07~12:20 pm,10:09:59 am,M,4,19,1M,05:02 min/mile,05:02 min/mile,00:05:01.75,00:05:01.75,00:05:01.75,marathon,USA,us,Fresno,1706955300.44,1706973310_000156,1706981121_000280,38,+00:02.12,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760465_clayton-albertson-9848.jpg?v=19,Brooks,,,1.0
48,00:05:01.83,1M,1M,RFLWGZ3D,576,576,00576,Emilio de la Torre,10:15:01 am,1706973300.52,05:02,05:02,11.93,03:08,03:08,19.19,2M~00:10:01~10:19 am,FINISH~02:17:19~12:27 pm,10:09:59 am,M,10,4,1M,05:02 min/mile,05:02 min/mile,00:05:01.83,00:05:01.83,00:05:01.83,marathon,USA,us,South Pasadena,1706955300.52,1706973310_000150,1706973310_000151,39,+00:02.20,,,,,1.0
49,00:05:01.97,1M,1M,R7GPNUM2,433,433,00433,Kevin Lynch,10:15:01 am,1706973300.66,05:02,05:02,11.92,03:08,03:08,19.19,2M~00:10:02~10:20 am,FINISH~02:20:10~12:30 pm,10:09:59 am,M,11,4,1M,05:02 min/mile,05:02 min/mile,00:05:01.97,00:05:01.97,00:05:01.97,marathon,USA,us,Eagle Mountain,1706955300.66,1706973310_000153,1706973310_000154,40,+00:02.34,,,,,1.0
50,00:05:01.97,1M,1M,RVTBRF4E,419,419,00419,Nathan Martin,10:15:01 am,1706973300.66,05:02,05:02,11.92,03:08,03:08,19.19,2M~00:10:01~10:19 am,FINISH~02:11:00~12:20 pm,10:09:59 am,M,9,17,1M,05:02 min/mile,05:02 min/mile,00:05:01.97,00:05:01.97,00:05:01.97,marathon,USA,us,Jackson,1706955300.66,1706973310_000174,1706981165_000371,41,+00:02.34,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760878_nathan-martin2-9480.jpg?v=17,McKirdy Trained,,,1.0
51,00:05:01.99,1M,1M,R45BZHDE,421,421,00421,Andrew Colley,10:15:01 am,1706973300.68,05:02,05:02,11.92,03:08,03:08,19.18,2M~00:10:00~10:19 am,FINISH~02:07:46~12:17 pm,10:09:59 am,M,16,15,1M,05:02 min/mile,05:02 min/mile,00:05:01.99,00:05:01.99,00:05:01.99,marathon,USA,us,Blowing Rock,1706955300.68,1706973310_000113,1706983548_000076,,,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706761047_andrew-colley-3362.jpg?v=15,ZAP Endurance,,,1.0
